filename,width,height,class,xmin,ymin,xmax,ymax
img_000318_png.rf.84be5abfc201a7cc6d194e3915955ff0.jpg,324,244,cone,154,25,178,70
img_000485_png.rf.ffc5ce63efda5a6684e30af61bc29f67.jpg,324,244,ball,135,86,176,126
img_000326_png.rf.160bf058a9e33cef537059be40a65150.jpg,324,244,ball,175,114,223,167
img_000461_png.rf.975af232238e91017a942877b73c2025.jpg,324,244,ball,144,45,185,90
img_000190_png.rf.c4e7422ac1a4c943824ffe18e050fa09.jpg,324,244,ball,189,41,230,86
img_000223_png.rf.e49e7b7978320aeed710b37d1d758be1.jpg,324,244,ball,187,46,224,89
img_000503_png.rf.81932cc9186b43e4f0eb21a1a57c2fcd.jpg,324,244,ball,155,92,189,129
img_000075_png.rf.58706afb00372523d94cccd9fd5d7be7.jpg,324,244,cone,137,80,177,135
img_000429_png.rf.05487e47633218e4d4abf7db4cd1fc51.jpg,324,244,cone,153,58,174,99
img_000028_png.rf.d9ee267ad5f2d7f01be412f2fb69f983.jpg,324,244,none,0,0,0,0
img_000391_png.rf.155c80bac158f68044ee65d88503e846.jpg,324,244,ball,173,100,216,146
img_000101_png.rf.a2b37bcdaf3309d431fb33b99f5441f5.jpg,324,244,ball,158,60,209,116
img_000073_png.rf.67ca544f96885d7d399fd862a8a4dfd1.jpg,324,244,cone,152,83,180,130
img_000027_png.rf.5ddc2cbe1a63e2ed20b3d27335b9c852.jpg,324,244,ball,169,12,216,69
img_000459_png.rf.c833d9c87a3b5e1fc44ac45ff1160d56.jpg,324,244,cone,128,71,155,115
img_000279_png.rf.3a85074493154a2d87842434be2c0c23.jpg,324,244,cone,153,40,199,105
img_000461_png.rf.9f36de46695f2f1bc63cd9a094804333.jpg,324,244,ball,138,54,172,92
img_000426_png.rf.7a0e8cb08b12199c7d5a949343c0aa2a.jpg,324,244,ball,116,25,158,73
img_000319_png.rf.868e46baabb3eb76c1f9bcd92dedbb4a.jpg,324,244,ball,184,99,237,151
img_000463_png.rf.336f74f9c83cad569c9b4344c96730d6.jpg,324,244,ball,139,23,175,62
img_000100_png.rf.486961ad0dc82c2a90448704a1435be3.jpg,324,244,cone,107,100,144,151
img_000493_png.rf.608d4a31511f9cd774ce65163243973f.jpg,324,244,ball,167,102,200,137
img_000035_png.rf.72c67b17c04e50e6774bba3277099c0e.jpg,324,244,none,0,0,0,0
img_000027_png.rf.f077147448fdc6463216d3838c26c9e8.jpg,324,244,none,0,0,0,0
img_000122_png.rf.9f775702971fc92bc5c1fb42af9b92b9.jpg,324,244,ball,166,51,220,106
img_000355_png.rf.61c7a270e80cce81f11f913b46125388.jpg,324,244,cone,110,30,141,83
img_000372_png.rf.aaef0b90cdd26e29033489f363c4ea19.jpg,324,244,cone,117,24,149,80
img_000268_png.rf.6bb690f48a709968f5ce40c235426462.jpg,324,244,cone,145,38,180,95
img_000057_png.rf.832a3561b060c866800a555bbffaeaef.jpg,324,244,none,0,0,0,0
img_000004_png.rf.26ed7095e08e89e57f22973b158cd43e.jpg,324,244,cone,160,11,183,50
img_000063_png.rf.bfd5f597a6d81ce56c43ff35c425f88e.jpg,324,244,none,0,0,0,0
img_000067_png.rf.05f9a4b3ea3a269dd4fdfe213fca9a35.jpg,324,244,none,0,0,0,0
img_000090_png.rf.c5dfd2d8f5d3a0a7f6dcd240c29a6215.jpg,324,244,cone,145,89,179,139
img_000473_png.rf.97cb107d43c4b0142c71a2aed57820eb.jpg,324,244,ball,145,101,178,135
img_000495_png.rf.7895c2e0bcdfd287e8f2b508801367e7.jpg,324,244,ball,162,112,195,143
img_000473_png.rf.66f29a95c59118fc3e1ef27d0ad8ec7f.jpg,324,244,ball,141,95,180,136
img_000401_png.rf.7b90c899373aa9556ea9e390af50a47e.jpg,324,244,cone,164,51,203,107
img_000203_png.rf.567ffb8009760279bd9df2d6a780c149.jpg,324,244,cone,134,134,178,196
img_000153_png.rf.cbfb4ea96287264ae76a88497ec8b892.jpg,324,244,cone,135,67,166,115
img_000156_png.rf.0c638e38e06071c0e56224657ef4e72f.jpg,324,244,ball,170,13,210,60
img_000442_png.rf.8006416d20a8a8491828acfa30787857.jpg,324,244,cone,153,54,180,98
img_000111_png.rf.3bf365eaa4fa5635c0530a0081bf3dce.jpg,324,244,ball,139,37,193,95
img_000386_png.rf.55e8101a6ee902f6b59780225b453035.jpg,324,244,ball,160,103,195,142
img_000090_png.rf.5e0ab5ebd3231604a0713e05f3f992a6.jpg,324,244,none,0,0,0,0
img_000084_png.rf.5525ec86fb948cfba0afd45a95493cad.jpg,324,244,none,0,0,0,0
img_000018_png.rf.ca8fc830ace7d8b83e8aa9b9e4be2aa0.jpg,324,244,cone,158,37,179,75
img_000358_png.rf.ceba2ac65bb73d0864c1947b4f3152e8.jpg,324,244,cone,94,35,133,91
img_000403_png.rf.30549bb5a601e6fb0a74de98c018d53e.jpg,324,244,ball,153,53,204,104
img_000027_png.rf.3dd5f4d038ef3b68d655aa17fab99272.jpg,324,244,none,0,0,0,0
img_000014_png.rf.0a9b0cb2d032db0f782b616d924a6290.jpg,324,244,cone,152,31,176,68
img_000512_png.rf.4a98d748aae30180e530e6fad10a6729.jpg,324,244,cone,190,88,222,141
img_000157_png.rf.080461be0d938e427581e1a1facb2ed4.jpg,324,244,cone,141,69,177,118
